line_id,sku,line_name,capable,rate_kgph
13,280184,P22,0,1356.0
0,280185,P09,1,716.0
1,280185,P10,1,635.0
2,280185,P11,1,770.0
3,280185,P12,0,608.0
4,280185,P13,1,748.0
5,280185,P14,0,689.0
6,280185,P15,1,630.0
7,280185,P16,1,800.0
8,280185,P17,0,1454.0
9,280185,P18,0,1486.0
10,280185,P19,0,1454.0
11,280185,P20,0,1475.0
12,280185,P21,0,1432.0
13,280185,P22,0,1356.0
0,280186,P09,1,716.0
1,280186,P10,1,635.0
2,280186,P11,1,770.0
3,280186,P12,0,608.0
4,280186,P13,1,748.0
5,280186,P14,0,689.0
6,280186,P15,0,630.0
7,280186,P16,0,800.0
8,280186,P17,0,1454.0
9,280186,P18,0,1486.0
10,280186,P19,0,1454.0
11,280186,P20,0,1475.0
12,280186,P21,0,1432.0
13,280186,P22,0,1356.0
0,280187,P09,1,716.0
1,280187,P10,1,635.0
2,280187,P11,1,770.0
3,280187,P12,0,608.0
4,280187,P13,1,748.0
5,280187,P14,0,689.0
6,280187,P15,0,630.0
7,280187,P16,0,800.0
8,280187,P17,0,1454.0
9,280187,P18,0,1486.0
10,280187,P19,0,1454.0
11,280187,P20,0,1475.0
12,280187,P21,0,1432.0
13,280187,P22,0,1356.0
0,280212,P09,1,716.0
1,280212,P10,1,635.0
2,280212,P11,1,770.0
3,280212,P12,0,608.0
4,280212,P13,1,748.0
5,280212,P14,0,689.0
6,280212,P15,1,630.0
7,280212,P16,1,800.0
8,280212,P17,1,1454.0
9,280212,P18,1,1486.0
10,280212,P19,1,1454.0
11,280212,P20,1,1475.0
12,280212,P21,1,1432.0
13,280212,P22,1,1356.0
0,280213,P09,1,716.0
1,280213,P10,1,635.0
2,280213,P11,1,770.0
3,280213,P12,0,608.0
4,280213,P13,1,748.0
5,280213,P14,0,689.0
6,280213,P15,1,630.0
7,280213,P16,1,800.0
8,280213,P17,1,1454.0
9,280213,P18,1,1486.0
10,280213,P19,1,1454.0
11,280213,P20,1,1475.0
12,280213,P21,1,1432.0
13,280213,P22,1,1356.0
0,280222,P09,1,716.0
1,280222,P10,1,635.0
2,280222,P11,1,770.0
3,280222,P12,0,608.0
4,280222,P13,1,748.0
5,280222,P14,0,689.0
6,280222,P15,1,630.0
7,280222,P16,1,800.0
8,280222,P17,1,1454.0
9,280222,P18,1,1486.0
10,280222,P19,1,1454.0
11,280222,P20,1,1475.0
12,280222,P21,1,1432.0
13,280222,P22,1,1356.0
0,280227,P09,0,716.0
1,280227,P10,0,635.0
2,280227,P11,0,770.0
3,280227,P12,1,608.0
4,280227,P13,0,748.0
