Year Start,Month Start,Day Start,Machine,Product,Tons,gen_idtypemaille,Year End,Month End,Day End,Hours
2027,11,8,P03,280106,12.52,4,2027,11,15,16.801
2027,11,15,P03,280106,12.398,4,2027,11,22,16.637
2027,11,22,P03,280106,2.059,4,2027,11,29,2.763
2027,11,29,P03,280106,9.328,4,2027,12,6,12.517
2027,12,13,P03,280106,13.528,4,2027,12,20,18.154
2027,12,20,P03,280106,5.197,4,2027,12,27,6.974
2027,12,27,P03,280106,13.722,4,2028,1,3,18.414
2028,1,3,P03,280106,7.481,4,2028,1,10,10.039
2028,1,10,P03,280106,15.556,4,2028,1,17,20.875
2028,1,17,P03,280106,7.815,4,2028,1,24,10.487
2028,1,24,P03,280106,7.731,4,2028,1,31,10.374
2026,8,10,P03,280166,26,4,2026,8,17,34.839
2026,8,31,P03,280166,47.448,4,2026,9,7,62.762
2026,9,28,P03,280166,20.655,4,2026,10,5,27.013
2026,10,19,P03,280166,24.338,4,2026,10,26,31.829
2026,11,2,P03,280166,100.254,4,2026,11,9,133.95
2026,12,21,P03,280166,23.005,4,2026,12,28,31.418
2027,2,8,P03,280166,28.083,4,2027,2,15,37.686
2027,3,29,P03,280166,46.925,4,2027,4,5,62.969
2027,6,14,P03,280166,41.222,4,2027,6,21,55.317
2027,6,21,P03,280166,43.742,4,2027,6,28,58.698
2027,6,28,P03,280166,84.208,4,2027,7,5,113
2027,8,30,P03,280166,29.881,4,2027,9,6,40.098
2027,9,13,P03,280166,21.413,4,2027,9,20,28.734
2027,10,18,P03,280166,19.843,4,2027,10,25,26.628
2027,11,15,P03,280166,0.367,4,2027,11,22,0.493
2027,11,22,P03,280166,15.081,4,2027,11,29,20.237
2027,12,6,P03,280166,50.16,4,2027,12,13,67.31
2027,12,20,P03,280166,23.54,4,2027,12,27,31.589
2028,1,3,P03,280166,11.596,4,2028,1,10,15.562
2026,9,21,P03,280344,54.974,4,2026,9,28,72.717
2027,2,1,P03,280344,93.414,4,2027,2,8,125.354
2027,2,15,P03,280344,43.6,4,2027,2,22,58.508
2027,2,22,P03,280344,70.251,4,2027,3,1,94.272
2027,3,1,P03,280344,90,4,2027,3,8,120.773
