line,sku,is_double_line,first_run,last_run,n_runs,hrs,kg,rate_kgph,rate_p20,rate_p80,oee_mean_hw,recent_n_runs,recent_hrs,recent_kg,recent_rate_kgph,recent_rate_p20,recent_rate_p80,recent_oee_mean_hw,low_evidence,capable,calc_rate_kgph,in_capability_table,measured_over_calc,recent_over_calc
P20,280391,True,2024-04-12,2024-07-24,2,79.0,77549.0,981.6,799.7,1198.9,0.437,,,,,,,,True,,,False,,
P20,280421,True,2024-06-28,2026-07-21,10,424.0,588426.0,1387.8,1247.1,1497.6,0.6178,9.0,382.0,527422.0,1380.7,1204.9,1504.0,0.6146,False,1.0,1475.0,True,0.941,0.936
P20,280451,True,2024-11-14,2026-06-29,7,292.0,414163.0,1418.4,1294.1,1595.4,0.6314,7.0,292.0,414163.0,1418.4,1294.1,1595.4,0.6314,False,1.0,1475.0,True,0.962,0.962
P20,280453,True,2024-11-12,2026-05-17,4,148.0,175966.0,1189.0,1059.1,1304.4,0.5414,4.0,148.0,175966.0,1189.0,1059.1,1304.4,0.5414,False,1.0,1475.0,True,0.806,0.806
P20,280454,True,2024-11-12,2024-11-12,1,12.0,17843.0,1487.0,1487.0,1487.0,0.6619,1.0,12.0,17843.0,1487.0,1487.0,1487.0,0.6619,True,1.0,1475.0,True,1.008,1.008
P20,280480,True,2024-12-10,2026-08-16,8,463.2,701659.0,1514.6,1176.6,1717.2,0.6743,8.0,463.2,701659.0,1514.6,1176.6,1717.2,0.6743,False,1.0,1475.0,True,1.027,1.027
P20,280490,True,2025-06-22,2025-12-14,3,96.0,135140.0,1407.7,1264.3,1639.6,0.6267,3.0,96.0,135140.0,1407.7,1264.3,1639.6,0.6267,False,1.0,1475.0,True,0.954,0.954
P20,280516,True,2024-07-02,2024-07-02,1,95.0,152767.0,1608.1,1608.1,1608.1,0.7158,,,,,,,,True,1.0,1475.0,True,1.09,
P20,280583,True,2025-04-13,2026-09-01,19,719.0,1034969.0,1439.5,1271.6,1701.2,0.6594,19.0,719.0,1034969.0,1439.5,1271.6,1701.2,0.6594,False,1.0,1475.0,True,0.976,0.976
P20,280584,True,2025-04-17,2026-09-02,22,800.0,1082998.0,1353.7,1194.8,1591.9,0.6026,22.0,800.0,1082998.0,1353.7,1194.8,1591.9,0.6026,False,1.0,1475.0,True,0.918,0.918
P20,280585,True,2025-07-23,2026-08-23,17,824.0,1202461.0,1459.3,1222.7,1688.2,0.6512,17.0,824.0,1202461.0,1459.3,1222.7,1688.2,0.6512,False,1.0,1475.0,True,0.989,0.989
P20,280586,True,2025-05-11,2026-08-23,10,516.0,743245.0,1440.4,1185.7,1683.3,0.6439,10.0,516.0,743245.0,1440.4,1185.7,1683.3,0.6439,False,1.0,1475.0,True,0.977,0.977
