line,from_sku,to_sku,n,recent_n,last_seen,setup_hours,ttp_change,ffs_change,tpld_change,cspkr_change,conv_to_org,cinn_to_non_cinn,added_flavors,cip_req_after,in_changeover_table
P14,120448,120436,9,1,2025-03-18,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True
P14,120450,120453,9,2,2026-05-30,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120430,120436,8,1,2024-11-16,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P14,120430,120532,8,1,2025-03-11,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120433,120431,8,2,2025-11-06,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True
P14,280204,280166,8,0,2024-01-14,,,,,,,,,,False
P14,120430,120450,7,2,2026-01-17,0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,True
P14,120430,120465,7,0,2021-09-09,,,,,,,,,,False
P14,120430,280166,7,0,2023-11-10,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P14,120431,120430,7,2,2025-12-20,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120431,120532,7,2,2025-07-01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120437,280166,7,0,2022-11-20,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,True
P14,120444,120437,7,0,2020-11-10,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120448,280107,7,2,2026-08-07,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,True
P14,120453,120431,7,2,2024-10-17,0.5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,True
P14,120532,120430,7,1,2025-11-14,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120532,120536,7,2,2025-06-07,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
P14,120536,280090,7,5,2026-04-26,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
