sku,line,hrs,n_runs,share_of_sku_hrs,recent_hrs,recent_n_runs,recent_share_of_sku_hrs,rank_by_recent_hrs
280107,P20,174.0,3,0.042,174.0,3.0,0.134,3.0
280107,P22,134.0,2,0.032,134.0,2.0,0.103,4.0
280107,P09,296.57,11,0.072,122.57,4.0,0.095,5.0
280107,P11,402.0,18,0.097,82.0,3.0,0.063,6.0
280107,P15,198.0,9,0.048,48.0,1.0,0.037,7.0
280107,P16,156.0,9,0.038,12.0,1.0,0.009,8.0
280107,P10,40.0,2,0.01,,,,
280107,P13,130.0,6,0.031,,,,
280107,P17,19.5,1,0.005,,,,
280114,P09,16.0,1,0.052,,,,
280114,P11,11.5,1,0.038,,,,
280114,P12,214.0,15,0.7,,,,
280114,P14,64.0,4,0.209,,,,
280115,P10,27.0,1,0.076,,,,
280115,P12,131.0,13,0.368,,,,
280115,P14,198.0,15,0.556,,,,
280121,P16,122.0,5,0.193,92.0,4.0,0.253,1.0
280121,P13,108.0,4,0.171,84.0,3.0,0.231,2.0
280121,P09,163.0,5,0.258,67.0,2.0,0.185,3.0
280121,P11,180.0,6,0.284,60.0,1.0,0.165,4.0
280121,P22,36.0,1,0.057,36.0,1.0,0.099,5.0
280121,P15,24.0,1,0.038,24.0,1.0,0.066,6.0
280129,P11,541.0,24,0.588,72.0,4.0,1.0,1.0
280129,P10,371.9,20,0.404,,,,
280129,P12,7.0,1,0.008,,,,
280130,P11,1816.8,58,0.669,317.8,10.0,1.0,1.0
280130,P10,886.9,31,0.327,,,,
280130,P12,10.5,1,0.004,,,,
280133,P10,59.0,1,0.1,,,,
280133,P11,51.0,1,0.086,,,,
280133,P12,111.0,2,0.188,,,,
280133,P14,218.7,4,0.371,,,,
280133,P15,75.0,2,0.127,,,,
280133,P16,75.2,3,0.127,,,,
280134,P10,83.0,2,0.342,,,,
280134,P12,80.0,2,0.329,,,,
280134,P14,27.0,1,0.111,,,,
280134,P16,53.0,1,0.218,,,,
280135,P09,29.25,1,0.044,,,,
280135,P10,81.38,3,0.123,,,,
280135,P11,185.0,3,0.279,,,,
280135,P15,234.22,3,0.353,,,,
280135,P16,133.22,4,0.201,,,,
280136,P09,91.0,1,0.883,,,,
280136,P14,12.0,1,0.117,,,,
280141,P13,58.67,1,0.356,,,,
280141,P15,106.027,1,0.644,,,,
280142,P09,452.78,4,0.212,,,,
280142,P13,447.51,4,0.209,,,,
280142,P15,1238.08,19,0.579,,,,
280147,P09,542.48,8,0.321,,,,
