sku,ediact_sku_description,ediact_sku_format,recipe,casepacker_format,topload_format,pouch_format,is_organic,flavor_count,has_cinnamon
280452,2X20X90 VP MANGVA-PEC-BLB CAN,2X20X90,VP MANGVA-PEC-BLB CAN,2,20,90,0,3,0
280453,2X20X90 VP APL-GRA-BER CAN,2X20X90,VP APL-GRA-BER CAN,2,20,90,0,3,0
280454,1X24X90 FV VP ASTBZUC-ABLBSPN,1X24X90,FV VP ASTBZUC-ABLBSPN,1,24,90,0,2,0
280459,4X20X90 APL-APKNCIN HALLOWEEN,4X20X90,APL-APKNCIN HALLOWEEN,4,20,90,0,2,1
280464,9X4X110 ACTLUP STBPINORNG GGS,9X4X110,ACTLUP STBPINORNG GGS,9,4,110,0,1,0
280465,9X4X110 ACTLUP CHRRSPLIM GGS,9X4X110,ACTLUP CHRRSPLIM GGS,9,4,110,0,1,0
280466,9X4X110 ACTLUP BLBSTBLEM GGS,9X4X110,ACTLUP BLBSTBLEM GGS,9,4,110,0,1,0
280467,6X10X110 ACTLUP STBPINORNG GGS,6X10X110,ACTLUP STBPINORNG GGS,6,10,110,0,1,0
280468,6X10X110 ACTLUP CHRRSPLIM GGS,6X10X110,ACTLUP CHRRSPLIM GGS,6,10,110,0,1,0
280469,6X10X110 ACTLUP BLBSTBLEM GGS,6X10X110,ACTLUP BLBSTBLEM GGS,6,10,110,0,1,0
280473,1X18X110 ACTLUP STBPINO-CHRLIM,1X18X110,ACTLUP STBPINO-CHRLIM,1,18,110,0,2,0
280474,1X18X110 ACTLUP STBPINO-BLBSTB,1X18X110,ACTLUP STBPINO-BLBSTB,1,18,110,0,2,0
280477,6X12X90 VP ACIN-CHRVAN CAN,6X12X90,VP ACIN-CHRVAN CAN,6,12,90,0,2,1
280478,2X22X90 APL GGS CAN,2X22X90,APL GGS CAN,2,22,90,0,1,0
280480,1X28X90 ORG VP APL-CIN-PEC-STB,1X28X90,ORG VP APL-CIN-PEC-STB,1,28,90,1,4,1
280481,1X40X110 ACTLUP STBPINORNG FS,1X40X110,ACTLUP STBPINORNG FS,1,40,110,0,1,0
280488,6X8X110 GUTZY ORG MANPINTUR,6X8X110,GUTZY ORG MANPINTUR,6,8,110,1,2,0
280489,1X24X90 TROP MANGV-PINPA-LEMLI,1X24X90,TROP MANGV-PINPA-LEMLI,1,24,90,0,3,0
280490,1X28X90 FV VP ASTBZUC-APERCAR,1X28X90,FV VP ASTBZUC-APERCAR,1,28,90,0,2,0
280493,2X20X90 VP APL-FRTY4 GGS,2X20X90,VP APL-FRTY4 GGS,2,20,90,0,2,0
280496,1X40X110 ACTLUP BLBSTBLEM FS,1X40X110,ACTLUP BLBSTBLEM FS,1,40,110,0,1,0
280497,1X40X110 ACTLUP CHRRSPLIM FS,1X40X110,ACTLUP CHRRSPLIM FS,1,40,110,0,1,0
280516,6X12X90 ASTB GGS BTS,6X12X90,ASTB GGS BTS,6,12,90,0,1,0
